,0
0,2.9571261474861132
1,2.041641324629747
2,2.041641324629747
3,-1.2920544973289811
4,-1.2920544973289811
5,-1.2920544973289811
6,-1.2920544973289811
7,-1.2920544973289811
8,-1.5627102910301025
9,-1.5627102910301025
10,-1.5627102910301025
11,-1.5627102910301025
12,-1.5627102910301025
13,-1.738326473241834
14,-4.535167427078508
15,-4.554621514047376
16,-4.554621514047376
17,-5.353363551090255
18,-5.353363551090255
19,-5.353363551090255
20,-5.353363551090255
21,-5.353363551090255
22,-5.353363551090255
23,-5.353363551090255
24,-5.353363551090255
25,-5.353363551090255
26,-5.353363551090255
27,-5.353363551090255
28,-5.353363551090255
29,-5.353363551090255
30,-5.353363551090255
31,-5.353363551090255
32,-5.836530429558065
33,-5.836530429558065
34,-5.836530429558065
35,-5.836530429558065
36,-5.836530429558065
37,-5.836530429558065
38,-5.836530429558065
39,-5.836530429558065
40,-5.836530429558065
41,-5.836530429558065
42,-5.836530429558065
43,-5.836530429558065
44,-5.836530429558065
45,-5.836530429558065
46,-5.836530429558065
47,-6.487253438796712
48,-6.487253438796712
49,-6.487253438796712
