,0
0,-3.573782964647334
1,-4.874643540321266
2,-4.874643540321266
3,-4.874643540321266
4,-4.874643540321266
5,-4.874643540321266
6,-4.874643540321266
7,-5.005777033996508
8,-5.005777033996508
9,-5.005777033996508
10,-5.005777033996508
11,-5.005777033996508
12,-5.005777033996508
13,-5.005777033996508
14,-5.005777033996508
15,-5.005777033996508
16,-5.005777033996508
17,-5.005777033996508
18,-5.005777033996508
19,-5.005777033996508
20,-5.005777033996508
21,-5.005777033996508
22,-5.005777033996508
23,-5.005777033996508
24,-5.005777033996508
25,-5.053972394900307
26,-5.053972394900307
27,-5.053972394900307
28,-5.053972394900307
29,-5.053972394900307
30,-5.053972394900307
31,-5.053972394900307
32,-5.053972394900307
33,-5.053972394900307
34,-5.053972394900307
35,-5.053972394900307
36,-5.138507381878001
37,-5.138507381878001
38,-5.138507381878001
39,-5.138507381878001
40,-5.138507381878001
41,-5.138507381878001
42,-5.138507381878001
43,-5.138507381878001
44,-5.138507381878001
45,-5.138507381878001
46,-5.138507381878001
47,-5.138507381878001
48,-5.138507381878001
49,-5.138507381878001
