,0
0,-4.928286780896968
1,-4.928286780896968
2,-4.928286780896968
3,-4.928286780896968
4,-6.4422417553506
5,-6.4422417553506
6,-6.4422417553506
7,-6.4422417553506
8,-6.4422417553506
9,-6.56888032091703
10,-6.56888032091703
11,-6.56888032091703
12,-7.276344511523299
13,-7.276344511523299
14,-7.276344511523299
15,-7.731590815322236
16,-7.731590815322236
17,-7.731590815322236
18,-7.731590815322236
19,-8.569609950773655
20,-8.569609950773655
21,-8.569609950773655
22,-8.569609950773655
23,-8.569609950773655
24,-8.569609950773655
25,-8.569609950773655
26,-8.569609950773655
27,-8.569609950773655
28,-8.569609950773655
29,-8.569609950773655
30,-8.569609950773655
31,-8.569609950773655
32,-8.569609950773655
33,-8.569609950773655
34,-8.569609950773655
35,-8.569609950773655
36,-8.569609950773655
37,-8.569609950773655
38,-8.569609950773655
39,-8.569609950773655
40,-8.569609950773655
41,-8.569609950773655
42,-8.569609950773655
43,-8.569609950773655
44,-8.569609950773655
45,-8.569609950773655
46,-8.569609950773655
47,-8.569609950773655
48,-8.569609950773655
49,-8.569609950773655
