,0
0,-2.3902699541480295
1,-2.3902699541480295
2,-4.086311841506438
3,-4.086311841506438
4,-4.086311841506438
5,-4.622977323831809
6,-4.622977323831809
7,-4.622977323831809
8,-4.622977323831809
9,-4.622977323831809
10,-4.622977323831809
11,-4.622977323831809
12,-4.622977323831809
13,-4.622977323831809
14,-5.164375699018298
15,-5.164375699018298
16,-5.164375699018298
17,-5.164375699018298
18,-5.164375699018298
19,-5.164375699018298
20,-5.164375699018298
21,-5.164375699018298
22,-5.164375699018298
23,-5.164375699018298
24,-5.164375699018298
25,-5.164375699018298
26,-5.164375699018298
27,-5.164375699018298
28,-5.164375699018298
29,-5.164375699018298
30,-5.164375699018298
31,-5.164375699018298
32,-5.164375699018298
33,-5.164375699018298
34,-5.164375699018298
35,-5.164375699018298
36,-5.164375699018298
37,-5.164375699018298
38,-5.164375699018298
39,-5.164375699018298
40,-5.164375699018298
41,-5.164375699018298
42,-5.164375699018298
43,-5.164375699018298
44,-5.164375699018298
45,-5.164375699018298
46,-5.164375699018298
47,-5.164375699018298
48,-5.164375699018298
49,-5.164375699018298
50,-5.164375699018298
51,-5.164375699018298
52,-5.164375699018298
53,-5.164375699018298
54,-5.164375699018298
55,-5.164375699018298
56,-5.164375699018298
57,-5.164375699018298
58,-5.164375699018298
59,-5.164375699018298
60,-5.164375699018298
61,-5.164375699018298
62,-5.164375699018298
63,-5.164375699018298
64,-5.164375699018298
65,-5.164375699018298
66,-5.164375699018298
67,-5.164375699018298
68,-5.164375699018298
69,-5.164375699018298
70,-5.164375699018298
71,-5.164375699018298
72,-5.164375699018298
73,-5.164375699018298
74,-5.164375699018298
75,-5.164375699018298
76,-5.678404159231632
77,-5.678404159231632
78,-5.678404159231632
79,-5.678404159231632
80,-5.678404159231632
81,-5.678404159231632
82,-5.678404159231632
83,-5.678404159231632
84,-5.678404159231632
85,-5.678404159231632
86,-5.678404159231632
87,-5.678404159231632
88,-5.678404159231632
89,-5.678404159231632
90,-5.678404159231632
91,-5.678404159231632
92,-5.678404159231632
93,-5.678404159231632
94,-5.678404159231632
95,-5.678404159231632
96,-5.678404159231632
97,-5.678404159231632
98,-5.678404159231632
99,-5.678404159231632
100,-5.678404159231632
101,-5.678404159231632
102,-5.678404159231632
103,-5.678404159231632
104,-5.678404159231632
105,-5.678404159231632
106,-5.678404159231632
107,-5.678404159231632
108,-5.678404159231632
109,-5.678404159231632
110,-5.678404159231632
111,-5.678404159231632
112,-5.678404159231632
113,-5.678404159231632
114,-5.678404159231632
115,-5.678404159231632
116,-5.678404159231632
117,-5.678404159231632
118,-5.678404159231632
119,-5.678404159231632
120,-5.678404159231632
121,-5.678404159231632
122,-5.678404159231632
123,-5.678404159231632
124,-5.678404159231632
125,-5.678404159231632
126,-5.678404159231632
127,-5.678404159231632
128,-5.678404159231632
129,-5.678404159231632
