,0
0,-0.00042063982030001676
1,-0.0007488984901121105
2,-0.0007488984901121105
3,-0.0007488984901121105
4,-0.0007488984901121105
5,-0.0007488984901121105
6,-5.158849909199428
7,-5.158849909199428
8,-5.158849909199428
9,-5.206586509619463
10,-5.206586509619463
11,-5.206586509619463
12,-5.206586509619463
13,-5.206586509619463
14,-5.206586509619463
15,-5.206586509619463
16,-5.206586509619463
17,-5.206586509619463
18,-5.206586509619463
19,-5.206586509619463
20,-5.206586509619463
21,-5.206586509619463
22,-5.206586509619463
23,-5.206586509619463
24,-5.206586509619463
25,-5.206586509619463
26,-5.206586509619463
27,-5.206586509619463
28,-5.206586509619463
29,-5.206586509619463
30,-5.206586509619463
31,-5.812341777585511
32,-6.457758892921584
33,-6.457758892921584
34,-6.457758892921584
35,-6.457758892921584
36,-6.457758892921584
37,-6.457758892921584
38,-6.457758892921584
39,-6.457758892921584
40,-6.457758892921584
41,-6.457758892921584
42,-6.457758892921584
43,-6.457758892921584
44,-6.457758892921584
45,-6.67825101796246
46,-6.67825101796246
47,-6.67825101796246
48,-6.67825101796246
49,-6.67825101796246
50,-6.67825101796246
51,-6.67825101796246
52,-6.67825101796246
53,-6.67825101796246
54,-6.67825101796246
55,-6.67825101796246
56,-6.67825101796246
57,-6.67825101796246
58,-6.67825101796246
59,-6.67825101796246
60,-6.67825101796246
61,-6.67825101796246
62,-6.67825101796246
63,-6.67825101796246
64,-6.67825101796246
65,-6.67825101796246
66,-6.67825101796246
67,-6.67825101796246
68,-6.67825101796246
69,-6.67825101796246
70,-6.67825101796246
71,-6.67825101796246
72,-6.67825101796246
73,-6.67825101796246
74,-6.67825101796246
75,-6.67825101796246
76,-6.67825101796246
77,-6.67825101796246
78,-6.67825101796246
79,-6.67825101796246
80,-6.67825101796246
81,-6.67825101796246
82,-6.67825101796246
83,-6.67825101796246
84,-6.67825101796246
85,-6.67825101796246
86,-6.67825101796246
87,-6.67825101796246
88,-6.67825101796246
89,-6.67825101796246
90,-6.67825101796246
91,-6.67825101796246
92,-6.67825101796246
93,-6.67825101796246
94,-6.67825101796246
95,-6.67825101796246
96,-6.67825101796246
97,-6.67825101796246
98,-6.67825101796246
99,-6.67825101796246
100,-6.67825101796246
101,-6.67825101796246
102,-6.67825101796246
103,-6.67825101796246
104,-6.67825101796246
105,-6.67825101796246
106,-6.67825101796246
107,-6.67825101796246
108,-6.67825101796246
109,-6.67825101796246
110,-6.67825101796246
111,-6.67825101796246
112,-6.67825101796246
113,-6.67825101796246
114,-6.67825101796246
115,-6.67825101796246
116,-6.67825101796246
117,-6.67825101796246
118,-6.67825101796246
119,-6.67825101796246
120,-6.67825101796246
121,-6.67825101796246
122,-6.67825101796246
123,-6.67825101796246
124,-6.67825101796246
125,-6.67825101796246
126,-6.67825101796246
127,-6.67825101796246
128,-6.67825101796246
129,-6.67825101796246
130,-6.67825101796246
131,-6.67825101796246
132,-6.67825101796246
133,-6.67825101796246
134,-6.67825101796246
135,-6.67825101796246
136,-6.67825101796246
137,-6.686388093850488
138,-6.686388093850488
139,-6.686388093850488
140,-6.686388093850488
141,-6.686388093850488
142,-6.686388093850488
143,-6.686388093850488
144,-6.686388093850488
145,-6.686388093850488
146,-6.686388093850488
147,-6.686388093850488
148,-6.686388093850488
149,-6.686388093850488
150,-6.686388093850488
151,-6.686388093850488
152,-6.686388093850488
153,-6.686388093850488
154,-6.686388093850488
155,-6.686388093850488
156,-6.686388093850488
157,-6.686388093850488
158,-6.686388093850488
159,-6.686388093850488
160,-6.686388093850488
161,-6.686388093850488
162,-6.686388093850488
163,-6.686388093850488
164,-6.686388093850488
165,-6.686388093850488
166,-6.686388093850488
167,-6.686388093850488
168,-6.686388093850488
169,-6.686388093850488
170,-6.686388093850488
171,-6.686388093850488
172,-6.686388093850488
173,-6.686388093850488
174,-6.686388093850488
175,-6.686388093850488
176,-6.686388093850488
177,-6.686388093850488
178,-6.686388093850488
179,-6.686388093850488
180,-6.686388093850488
181,-6.686388093850488
182,-6.686388093850488
183,-6.686388093850488
184,-6.686388093850488
185,-6.686388093850488
186,-6.686388093850488
187,-6.686388093850488
188,-6.686388093850488
189,-6.686388093850488
190,-6.686388093850488
191,-6.686388093850488
192,-6.686388093850488
193,-6.686388093850488
194,-6.686388093850488
195,-6.686388093850488
196,-6.686388093850488
197,-6.686388093850488
198,-6.686388093850488
199,-6.686388093850488
200,-6.686388093850488
201,-6.686388093850488
202,-6.686388093850488
203,-6.686388093850488
