,0
0,-1.6687950071914188
1,-3.0981717877013737
2,-3.0981717877013737
3,-3.0981717877013737
4,-3.0981717877013737
5,-3.642125733105381
6,-3.642125733105381
7,-3.642125733105381
8,-3.642125733105381
9,-3.642125733105381
10,-3.642125733105381
11,-3.723552946973011
12,-3.723552946973011
13,-4.231064352742361
14,-4.231064352742361
15,-4.231064352742361
16,-4.231064352742361
17,-4.231064352742361
18,-4.231064352742361
19,-4.231064352742361
20,-4.231064352742361
21,-4.231064352742361
22,-4.231064352742361
23,-5.5745742889986785
24,-5.5745742889986785
25,-5.5745742889986785
26,-5.5745742889986785
27,-5.5745742889986785
28,-5.5745742889986785
29,-5.5745742889986785
30,-5.5745742889986785
31,-5.5745742889986785
32,-5.5745742889986785
33,-5.5745742889986785
34,-5.5745742889986785
35,-5.5745742889986785
36,-5.5745742889986785
37,-5.5745742889986785
38,-5.5745742889986785
39,-5.5745742889986785
40,-5.5745742889986785
41,-5.5745742889986785
42,-7.268258675197507
43,-7.268258675197507
44,-7.268258675197507
45,-7.268258675197507
46,-7.268258675197507
47,-7.268258675197507
48,-7.268258675197507
49,-7.268258675197507
50,-7.268258675197507
51,-7.268258675197507
52,-7.268258675197507
53,-7.268258675197507
54,-7.268258675197507
55,-7.268258675197507
56,-7.268258675197507
57,-7.268258675197507
58,-7.268258675197507
59,-7.268258675197507
60,-7.268258675197507
61,-7.268258675197507
62,-7.268258675197507
63,-7.268258675197507
64,-7.268258675197507
65,-7.268258675197507
66,-7.986066399566387
67,-7.986066399566387
68,-7.986066399566387
69,-7.986066399566387
70,-7.986066399566387
71,-7.986066399566387
72,-7.986066399566387
73,-7.986066399566387
74,-7.986066399566387
75,-7.986066399566387
76,-7.986066399566387
77,-7.986066399566387
78,-7.986066399566387
79,-7.986066399566387
80,-7.986066399566387
81,-7.986066399566387
82,-7.986066399566387
83,-7.986066399566387
84,-7.986066399566387
85,-7.986066399566387
86,-7.986066399566387
87,-7.986066399566387
88,-7.986066399566387
89,-7.986066399566387
90,-7.986066399566387
91,-7.986066399566387
92,-7.986066399566387
93,-7.986066399566387
94,-7.986066399566387
95,-7.986066399566387
96,-7.986066399566387
97,-7.986066399566387
98,-7.986066399566387
99,-7.986066399566387
100,-7.986066399566387
101,-7.986066399566387
102,-7.986066399566387
103,-7.986066399566387
