,0
0,-0.04075826102701018
1,-0.06968093434042512
2,-0.8429858961889759
3,-0.8429858961889759
4,-0.8429858961889759
5,-0.8429858961889759
6,-0.8429858961889759
7,-0.8429858961889759
8,-0.8429858961889759
9,-0.8429858961889759
10,-0.8429858961889759
11,-0.8429858961889759
12,-0.8429858961889759
13,-0.8429858961889759
14,-0.8429858961889759
15,-0.8429858961889759
16,-2.206076123061614
17,-2.206076123061614
18,-2.206076123061614
19,-2.206076123061614
20,-2.206076123061614
21,-2.206076123061614
22,-2.206076123061614
23,-2.206076123061614
24,-2.206076123061614
25,-2.206076123061614
26,-2.206076123061614
27,-2.206076123061614
28,-2.206076123061614
29,-2.206076123061614
30,-2.206076123061614
31,-2.206076123061614
32,-2.206076123061614
33,-2.206076123061614
34,-2.206076123061614
35,-2.206076123061614
36,-3.1311131332264996
37,-3.1311131332264996
38,-3.1311131332264996
39,-3.1311131332264996
40,-3.1311131332264996
41,-3.1311131332264996
42,-3.1311131332264996
43,-3.1311131332264996
44,-3.467656712855638
45,-3.467656712855638
46,-3.467656712855638
47,-3.467656712855638
48,-3.467656712855638
49,-3.467656712855638
50,-3.467656712855638
51,-3.467656712855638
52,-3.467656712855638
53,-3.467656712855638
54,-3.467656712855638
55,-3.467656712855638
56,-3.467656712855638
57,-3.467656712855638
58,-3.467656712855638
59,-3.467656712855638
60,-3.467656712855638
61,-3.467656712855638
62,-3.467656712855638
63,-3.467656712855638
64,-3.467656712855638
65,-3.467656712855638
66,-3.467656712855638
67,-3.467656712855638
68,-3.467656712855638
69,-3.467656712855638
70,-3.467656712855638
71,-3.467656712855638
72,-3.467656712855638
73,-3.467656712855638
74,-8.717861895554439
75,-8.717861895554439
76,-8.717861895554439
77,-8.717861895554439
78,-8.717861895554439
79,-8.717861895554439
80,-8.717861895554439
81,-8.717861895554439
82,-8.717861895554439
83,-8.717861895554439
84,-8.717861895554439
85,-8.717861895554439
86,-8.717861895554439
87,-8.717861895554439
88,-8.717861895554439
89,-8.717861895554439
90,-8.717861895554439
91,-8.717861895554439
92,-8.717861895554439
93,-8.717861895554439
94,-8.717861895554439
95,-8.717861895554439
96,-8.717861895554439
97,-8.717861895554439
98,-8.717861895554439
99,-8.717861895554439
